username,comment,comment_time,like_counts
蒼咲雫,第一次上白鲸岛一听钟情,2023年11月3日,(1)
枫晓叶aibat,圈外人，听到这首歌真的很震撼，给我的感觉像是相遇也像离别，更像是一种约定，与奇迹的约定,2023年11月2日,(3)
阿梅lll,一年多没玩了，估计我的月卡还没过期🤣🤣🤣,2023年10月31日,(3)
今天下午会偶遇爱莉希雅吗,让自己女儿跳兔女郎啊。,2023年10月29日,(2)
啾咪的阿网,很感触，如果不是一开始玩的坚毅也许我会继续下去！,2023年10月27日,(0)
云村村民161338228722967,低于18级才会被删档，你得反思下你为什么没有18级,2023年10月23日,(1)
紅魔館丿主,很感触，如果我不是玩的火的话，也许我还在玩吧,2023年10月22日,(1)
Mr-五条喵,打完白鲸岛主线任务准备走，突然背后响起了这首BGM，伴着烟花绽放，人突然就愣住了[求你了],2023年10月21日,(28)
贝贝的开心皮皮,我,2023年10月14日,(5)
NmVz,整多个次元时空世界对我来说并不是啥延续故事的好方法，现在幻塔唯一让我有玩下去的动力就是执行者过往的记忆和mia，除了这两个我在幻塔没有任何感兴趣的东西,2023年10月13日,(3)
风上之音,玩原神导致的,2023年10月11日,(1)
蘑菇酱超好次,op-互联网膏药[蛋仔吃瓜],2023年10月10日,(1)
歆歆来了哦,抽卡歪了只能怪你运气不好啊这你还能怪谁，本来就百分之五十的概率要怪就怪自己非酋呗,2023年10月7日,(0)
MEGALOVANIA2008,虽然炸服，但是“我就是因为把你们当人看”这可真是说到做到,2023年10月3日,(0)
源氏爱你哟,原也开始膨胀了,2023年10月3日,(0)
柚柚子0922,大保底是你赞了120个币换的，必中,2023年10月3日,(0)
时已铭刻起始,玩原神玩的,2023年10月2日,(0)
BBCRS,九域怎么逛都有种陌生的感觉，还是亚夏更亲切,2023年9月29日,(7)
流影墨华,反转了,2023年9月24日,(0)
缘小聆,一周年退游前数值好好的，接近一年半回游发现大世界小怪已经开始刮痧了,2023年9月23日,(0)
远方LT,幻塔九域，亚夏幻塔中心区顶端，每个都比寒天之钉高十倍以上，如果海底高度也算的话，幻塔的大海可以把原神所有全部的地图包括寒天之钉全淹了，一点头都冒不出来，包括天理天空岛也一样淹了,2023年9月20日,(0)
哈士柴,不仅外服了，还上PS了，各服畅销榜前三。 6亿开发出答辩，还挺骄傲[多多笑哭],2023年9月18日,(1)
雨夜冰冷_ly,这里为什么会有op😅,2023年9月15日,(4)
FallenLeaves_cFIa,op,2023年9月14日,(1)
江湖传说190118,八个蛋被原友正义处决力,2023年9月12日,(3)
Rengr丶,经典回顾,2023年9月12日,(5)
美沉默的羔羊,幻塔唯一缺点就是数值膨胀，这是因为基础公式有问题，数值会一直膨胀下去的，欣赏风景听听古曲还行，刷怪大世界都刮痧[多多大哭],2023年9月10日,(5)
君妄莲_,太神了,2023年9月9日,(0)
特妙君啊嗯,客人呀，哥几个又来逛白鲸岛了？[多多调皮],2023年9月9日,(12)
脆脆脆桃,双厨狂喜，喜欢的太太唱了幻塔相关的歌,2023年9月9日,(1)
-pilu,虽然不玩幻塔，但是歌真的美。,2023年9月9日,(0)
用户8490379923,国外去了，笑死我了,2023年9月8日,(0)
米哈游坏事做尽乆,那就给星铁加油，哦，已经干翻了，那没事了,2023年9月5日,(1)
若神乐,正常玩家谁逛评论区啊……,2023年9月5日,(0)
若神乐,23年了，我回来告诉你了，差距还是很大。[多多笑哭],2023年9月5日,(0)
玛卡巴卡_阿卡哇卡米卡玛卡呣,每天下线前都会去白鲸岛，感觉就像回家,2023年9月4日,(1)
Airy_Isk,你看看现在的幻塔行不,2023年9月2日,(0)
