username,comment,comment_time,like_counts
绝情的A,表白失败了 怎么收场,昨天12:30,(1)
小王子little-prince,重要的东西是肉眼看不见的,昨天12:29,(0)
小王子little-prince,生活本就充满了遗憾,昨天12:29,(0)
-我也可以是你唯一的听众,毛毛,昨天12:27,(0)
硬糖_D,巧了,昨天12:15,(0)
负债管家,星际争霸,昨天12:07,(0)
负债管家,熬不住了,昨天12:07,(0)
是一只可爱捏,星际争霸,昨天12:06,(0)
牟牟moumu,是我。,昨天12:01,(0)
苏打水泡乌龙,想在这跟她道个歉，虽然她也看不到,昨天11:56,(0)
苏打水泡乌龙,每听到这首歌，就会想起曾经语言羞辱的女生，后来她得了抑郁症，她退学了，我不知道是不是我的原因。她是个二次元，感觉这首歌跟她很像，现在常常会想到她，但却再见不到面了,昨天11:55,(2)
ulululul_,苹果手机检测到液体无法充电，这首歌是万能的,昨天11:46,(2)
tautu-K,0727,昨天11:42,(0)
旺仔小佩奇,《白夜行》,昨天11:35,(0)
陈诗怡cg,10年了,昨天11:34,(0)
李-厚余,是因为这首歌的歌手本人来中国唱来这首歌，开了演唱会。被拍视频到网上了,昨天11:31,(0)
-自醒-,这首终于回来了吗?,昨天11:29,(2)
MANIAC-4,既然这首歌说的是爱情，那么难道说同性恋不算是爱情？,昨天11:27,(0)
_luvf_,圣安地列斯,昨天11:26,(0)
MANIAC-4,爱是情感的一种，不应拘泥于人们的性别。,昨天11:24,(0)
等待_YsDe,codm,昨天11:05,(0)
st-南惜,哇塞我也是,昨天11:03,(0)
st-南惜,球球大作战，应该没人玩了吧,昨天11:02,(0)
唠龘,村里的,昨天10:49,(0)
唠龘,火影忍者,昨天10:49,(0)
安慕希不稀sry,和平精英，坚持不下去了,昨天10:47,(0)
hins的樱花树,巧了 真的好了！,昨天10:42,(0)
弥以肆年,iPhone充电口有液体😅,昨天10:40,(1)
木星一流艺术流行,曙光英雄,昨天10:37,(0)
招摇了余生,原神吧 但是现在玩不动了，越来越复杂的地图，分上下 还有各种找不到，再加上特别坑的抽卡概率，想要的仆人抽不到，就没登过。,昨天10:25,(0)
颂夜歌者,女孩的眼里有星辰大海,昨天10:23,(2)
星际_sky,光遇，原神,昨天10:10,(0)
上辈子是瓶养乐多,谁是手机充电显示检测到液体进来的,昨天10:06,(3)
狗尾巴草不好吃,人不少啊,昨天10:01,(0)
崽業,“燕子去了有再来的时侯，柳树枯了有再绿的时侯，可是聪明的你告诉我，为什么我们的时间一去不复返了呢？″,昨天10:00,(1)
爱你带笑的眼眸ovo,人生是旷野 不是轨道,昨天09:52,(2)
吾似曲奇,😂👉🏻,昨天09:51,(0)
Aa芋圆_,会共鸣吗刘哥,昨天09:46,(0)
惯情话,可恶 又是我们这些有品位的在听,昨天09:34,(5)
赤阳sunlight,抓紧我的手，好吗,昨天09:32,(1)
一曲长歌笑平生,遗憾后悔终止,昨天09:05,(0)
听过开心的歌,和我的好朋友一起玩的和平精英[多多比耶],昨天09:00,(0)
媛也是_,喜欢听歌 喜欢冰红茶 也喜欢括你.,昨天08:56,(0)
媛也是_,能与你携手 淋雨也浪漫.,昨天08:55,(0)
媛也是_,人都是三分钟热度而你是我的第181秒.,昨天08:55,(0)
媛也是_,零零散散的世界 遇见你 是我最大的幸福.,昨天08:55,(0)
媛也是_,如果世界太吵那我们躲起来悄悄幸福.,昨天08:54,(0)
媛也是_,我是难养的花 他是全世界最好的花匠.,昨天08:54,(0)
媛也是_,新鲜感确实让人心动但爱和真诚更胜一筹.,昨天08:54,(0)
媛也是_,说不了千言万语 山高路远我陪你.,昨天08:53,(0)
媛也是_,世上就一个你 我自然要好好珍惜.,昨天08:53,(0)
媛也是_,有你在真的好幸福 你要一直在我身边.,昨天08:53,(0)
失眠呆呆魚l,听了好几遍都没好，最后吹风机吹好的,昨天08:46,(0)
黑白条纹的不是乌鸦,都没了,昨天08:45,(0)
黑白条纹的不是乌鸦,没了,昨天08:44,(0)
屑指042,少女前线,昨天08:00,(0)
QAQ不羡仙,祝你幸福,昨天07:57,(1)
黄粱无梦-,明日方舟,昨天07:39,(0)
风雨同周粥粥,原神,昨天07:34,(0)
w晚睡小羊,好了吗[多多大哭],昨天07:19,(0)
拾柒-JUN,一梦江湖，最开始一起玩的那批人早就不玩了，只有我还在坚持，一八年到现在了，还在继续玩，我要玩一辈子一梦江湖！,昨天05:47,(0)
宇佳一周目版本,来迟了,昨天04:09,(0)
光下人间,"两只手指同时顺着箭头滑动,有特效（｡ӧ◡ӧ｡） 一一一一> <一一一一",昨天03:21,(1)
猫篮子,在,昨天03:04,(0)
是只眠羊小天使,需要帮忙吗？,昨天03:02,(1)
是只眠羊小天使,陌生人，祝你生日快乐～,昨天02:59,(1)
是只眠羊小天使,Good night.💤,昨天02:55,(1)
水龍敬F,aov,昨天02:37,(0)
泪情_lx,无解的图该怎么做的. 我好累好想睡一觉醒不过来的那种. 是自己太差 所以选择沉默不语. 我舍不得你所以你做的所有事我都原谅. 再好也是从前 再爱也是去年冬天.,昨天02:26,(1)
泪情_lx,不再钟情 顺其自然. 爱 不单单从嘴里说出来. 愿我是盏灯 照亮我的7 陪了你这么多日夜 我以为你心里有我 你权衡利弊 考虑所有问题 唯独不考虑我 朋友的名义 恋人的感觉 实际又好像毫无关系 你是我的春天可春天总会过去,昨天02:26,(2)
